copy,audience,keywords,time_of_day,clicked
Hurry up!,adults,exclusive,14,0
Don't miss out!,adults,offer,14,0
Buy now!,adults,discount,12,0
Don't miss out!,students,bestseller,4,1
50% off!,elderly,discount,4,0
Don't miss out!,elderly,bestseller,1,1
Don't miss out!,adults,offer,12,0
50% off!,adults,limited,17,1
Hurry up!,students,sale,16,0
Don't miss out!,students,exclusive,19,0
Don't miss out!,teens,sale,4,1
Hurry up!,elderly,exclusive,18,0
50% off!,adults,limited,4,1
Buy now!,students,discount,17,0
Best in town!,teens,limited,11,1
Hurry up!,students,bestseller,17,0
Limited offer!,parents,exclusive,12,0
Buy now!,adults,limited,6,1
Hurry up!,parents,sale,7,1
Best in town!,teens,discount,15,0
Hurry up!,adults,exclusive,0,1
Buy now!,students,bestseller,3,0
Limited offer!,elderly,sale,22,1
Limited offer!,adults,limited,11,0
Best in town!,adults,bestseller,16,1
Best in town!,teens,bestseller,22,0
Best in town!,elderly,sale,10,1
Hurry up!,elderly,discount,10,0
50% off!,students,offer,12,0
Best in town!,students,discount,8,1
Buy now!,parents,exclusive,3,1
Hurry up!,teens,sale,4,1
Hurry up!,teens,limited,23,0
Best in town!,parents,sale,5,0
50% off!,adults,bestseller,1,0
Don't miss out!,adults,limited,13,1
Buy now!,adults,sale,7,1
Don't miss out!,students,sale,18,0
Hurry up!,teens,offer,3,0
Don't miss out!,teens,sale,21,0
Hurry up!,adults,exclusive,7,1
Don't miss out!,parents,bestseller,15,1
50% off!,elderly,exclusive,4,0
Buy now!,students,exclusive,1,0
Hurry up!,adults,exclusive,18,0
Best in town!,students,exclusive,9,1
Buy now!,adults,offer,2,0
Best in town!,parents,exclusive,12,1
Don't miss out!,students,exclusive,1,0
Buy now!,adults,offer,2,1
Limited offer!,elderly,limited,9,1
Hurry up!,adults,bestseller,14,0
Buy now!,teens,discount,20,0
Hurry up!,teens,bestseller,23,0
Best in town!,adults,sale,22,0
Limited offer!,elderly,limited,5,1
50% off!,teens,exclusive,22,0
Buy now!,parents,exclusive,4,0
Best in town!,parents,offer,13,1
Best in town!,teens,exclusive,15,0
Hurry up!,teens,sale,6,1
Hurry up!,adults,exclusive,7,1
Hurry up!,teens,offer,22,1
Don't miss out!,teens,sale,1,1
Limited offer!,elderly,offer,22,1
Don't miss out!,teens,limited,2,1
Best in town!,parents,bestseller,6,1
Don't miss out!,teens,limited,20,0
Buy now!,students,exclusive,6,0
Limited offer!,parents,bestseller,10,1
Buy now!,teens,limited,5,1
50% off!,elderly,sale,0,0
Best in town!,teens,exclusive,12,1
Buy now!,teens,sale,21,1
Don't miss out!,adults,limited,8,1
Limited offer!,teens,limited,19,1
Buy now!,parents,limited,6,1
50% off!,parents,exclusive,8,1
50% off!,teens,discount,13,1
Limited offer!,adults,limited,7,1
50% off!,teens,bestseller,14,1
Don't miss out!,students,sale,23,1
Limited offer!,adults,exclusive,2,1
Limited offer!,adults,discount,5,1
50% off!,teens,discount,14,0
50% off!,teens,bestseller,8,1
Best in town!,adults,offer,14,1
Best in town!,adults,discount,23,1
Best in town!,parents,offer,21,0
50% off!,adults,offer,23,1
Best in town!,parents,bestseller,20,1
Buy now!,teens,limited,11,1
50% off!,elderly,exclusive,13,0
Limited offer!,teens,limited,19,0
Buy now!,students,bestseller,8,0
Hurry up!,teens,sale,7,1
50% off!,students,discount,8,0
Best in town!,teens,sale,2,1
Buy now!,adults,limited,14,0
Limited offer!,adults,bestseller,11,0
Don't miss out!,teens,bestseller,10,0
Hurry up!,teens,offer,18,0
Best in town!,teens,bestseller,12,0
50% off!,parents,sale,4,0
Buy now!,teens,sale,13,1
Don't miss out!,elderly,offer,14,1
Best in town!,adults,offer,11,1
Don't miss out!,elderly,bestseller,10,0
50% off!,teens,exclusive,9,0
Buy now!,adults,limited,18,0
Don't miss out!,teens,sale,18,0
Hurry up!,students,limited,16,1
Hurry up!,adults,exclusive,15,1
Buy now!,elderly,offer,7,0
50% off!,elderly,sale,11,1
Best in town!,teens,limited,15,1
Best in town!,teens,exclusive,16,1
Best in town!,adults,offer,20,0
50% off!,teens,offer,14,1
50% off!,teens,discount,12,1
Buy now!,teens,bestseller,23,0
Limited offer!,students,offer,5,0
Don't miss out!,adults,limited,10,0
Hurry up!,adults,sale,4,1
50% off!,parents,exclusive,2,0
Don't miss out!,parents,offer,22,1
Best in town!,parents,exclusive,11,1
Hurry up!,students,exclusive,12,0
Don't miss out!,teens,bestseller,15,1
50% off!,parents,sale,14,1
Buy now!,teens,limited,23,0
Hurry up!,students,discount,16,1
Best in town!,students,bestseller,14,0
Best in town!,parents,bestseller,21,1
Best in town!,students,sale,21,1
Hurry up!,adults,bestseller,14,1
Don't miss out!,teens,bestseller,22,0
50% off!,teens,bestseller,7,1
Hurry up!,parents,bestseller,5,0
Don't miss out!,elderly,sale,2,0
Hurry up!,students,discount,2,1
Hurry up!,teens,sale,19,1
50% off!,adults,sale,4,0
Limited offer!,students,offer,9,0
50% off!,adults,discount,5,0
Limited offer!,elderly,limited,10,1
50% off!,teens,bestseller,19,0
Hurry up!,elderly,discount,17,0
50% off!,parents,sale,0,0
Hurry up!,students,bestseller,14,0
Limited offer!,elderly,offer,2,1
Limited offer!,parents,exclusive,3,1
Limited offer!,parents,sale,20,0
Limited offer!,parents,bestseller,21,0
Best in town!,teens,offer,19,0
Best in town!,elderly,limited,6,0
Best in town!,elderly,offer,8,1
Limited offer!,students,offer,8,0
Don't miss out!,students,exclusive,1,1
Buy now!,students,offer,13,1
Buy now!,teens,sale,9,1
Buy now!,teens,limited,23,0
Limited offer!,elderly,discount,17,0
Buy now!,students,sale,0,0
Buy now!,teens,discount,2,0
Don't miss out!,elderly,sale,7,1
Don't miss out!,students,discount,6,0
Buy now!,students,sale,11,1
Buy now!,parents,sale,1,0
Buy now!,elderly,sale,3,0
Don't miss out!,adults,bestseller,7,0
Don't miss out!,adults,bestseller,9,0
Best in town!,parents,sale,8,1
Buy now!,adults,exclusive,9,0
Limited offer!,students,exclusive,16,1
Hurry up!,teens,limited,5,1
Buy now!,parents,limited,16,0
Hurry up!,students,sale,5,1
Limited offer!,adults,limited,12,1
50% off!,elderly,exclusive,11,0
Best in town!,students,offer,18,0
Don't miss out!,students,bestseller,21,0
Best in town!,elderly,sale,23,1
Hurry up!,teens,discount,12,0
Buy now!,teens,offer,20,1
Buy now!,teens,discount,17,1
Buy now!,teens,bestseller,23,0
Don't miss out!,adults,offer,2,0
Limited offer!,teens,discount,23,0
Buy now!,teens,exclusive,14,1
Hurry up!,adults,limited,22,0
Best in town!,parents,offer,21,0
Don't miss out!,parents,discount,15,1
50% off!,teens,discount,11,0
Limited offer!,parents,bestseller,20,1
Buy now!,teens,exclusive,13,1
Best in town!,parents,limited,4,1
50% off!,students,exclusive,21,1
Best in town!,students,sale,12,0
Buy now!,parents,sale,17,0
50% off!,students,discount,18,0
Hurry up!,students,offer,3,1
Hurry up!,adults,offer,3,1
Buy now!,students,exclusive,1,1
Buy now!,students,limited,14,1
Buy now!,parents,offer,3,0
Limited offer!,teens,exclusive,3,0
Don't miss out!,elderly,exclusive,3,1
Hurry up!,students,discount,6,0
Limited offer!,teens,sale,14,1
Best in town!,teens,discount,18,0
Hurry up!,adults,discount,7,0
Hurry up!,students,offer,15,1
50% off!,students,bestseller,14,0
Limited offer!,elderly,offer,20,1
Buy now!,parents,limited,11,1
Limited offer!,parents,limited,12,1
Best in town!,parents,discount,11,0
Don't miss out!,parents,bestseller,0,1
50% off!,elderly,discount,8,1
Best in town!,parents,discount,12,1
50% off!,adults,sale,2,1
Limited offer!,students,limited,21,0
50% off!,elderly,sale,14,0
Don't miss out!,elderly,discount,15,1
Hurry up!,students,exclusive,22,1
50% off!,parents,discount,2,0
Hurry up!,adults,sale,7,1
Limited offer!,parents,bestseller,17,1
50% off!,parents,offer,6,0
Limited offer!,adults,exclusive,0,1
50% off!,parents,offer,12,1
Best in town!,parents,discount,7,1
Limited offer!,adults,exclusive,2,0
Don't miss out!,elderly,sale,3,1
Buy now!,elderly,discount,3,0
Don't miss out!,students,discount,13,0
Don't miss out!,parents,bestseller,2,0
Best in town!,parents,exclusive,7,1
50% off!,teens,offer,2,0
Hurry up!,students,sale,18,1
Limited offer!,elderly,exclusive,10,0
Buy now!,adults,sale,4,1
Best in town!,elderly,discount,16,0
Hurry up!,teens,bestseller,12,0
Don't miss out!,students,exclusive,20,1
Buy now!,elderly,discount,23,0
Buy now!,students,sale,6,1
Don't miss out!,students,bestseller,14,0
Hurry up!,teens,exclusive,11,1
Limited offer!,parents,bestseller,16,1
Best in town!,teens,bestseller,10,1
50% off!,parents,limited,5,1
Limited offer!,parents,limited,17,1
Best in town!,students,discount,4,1
Buy now!,elderly,sale,8,1
Limited offer!,elderly,limited,4,1
Hurry up!,parents,limited,21,0
Hurry up!,teens,limited,13,1
Hurry up!,teens,discount,21,0
Hurry up!,parents,bestseller,6,0
Hurry up!,adults,bestseller,5,1
Hurry up!,students,limited,1,1
Buy now!,elderly,bestseller,5,0
50% off!,adults,offer,18,0
Hurry up!,parents,sale,0,1
Limited offer!,students,discount,19,1
Hurry up!,teens,bestseller,9,1
Limited offer!,students,limited,6,1
Limited offer!,adults,exclusive,11,1
50% off!,teens,offer,8,0
Buy now!,teens,limited,4,1
Best in town!,adults,limited,6,1
Don't miss out!,elderly,offer,3,1
Don't miss out!,teens,bestseller,9,1
Don't miss out!,elderly,exclusive,20,1
Don't miss out!,adults,offer,5,0
Best in town!,students,bestseller,7,0
Best in town!,teens,discount,23,1
Buy now!,adults,offer,12,1
Hurry up!,parents,bestseller,10,1
Buy now!,parents,exclusive,14,1
Don't miss out!,parents,limited,10,1
Buy now!,parents,discount,6,1
50% off!,elderly,exclusive,9,0
Limited offer!,elderly,bestseller,4,1
50% off!,elderly,exclusive,19,1
Don't miss out!,students,discount,11,0
Hurry up!,elderly,discount,21,0
50% off!,adults,sale,20,0
50% off!,teens,exclusive,4,1
Don't miss out!,teens,discount,20,0
Buy now!,elderly,sale,1,1
50% off!,elderly,limited,21,1
50% off!,parents,discount,9,0
Limited offer!,parents,offer,19,0
Limited offer!,students,exclusive,21,0
Buy now!,parents,exclusive,20,1
Buy now!,parents,bestseller,16,0
Limited offer!,teens,discount,1,1
50% off!,parents,offer,10,1
50% off!,parents,limited,11,1
Don't miss out!,parents,discount,5,1
Don't miss out!,elderly,offer,1,1
50% off!,parents,bestseller,15,0
Don't miss out!,adults,sale,2,0
Best in town!,parents,sale,19,0
Limited offer!,students,offer,23,0
Hurry up!,teens,limited,1,0
Hurry up!,parents,offer,18,1
Best in town!,elderly,exclusive,16,1
Best in town!,elderly,exclusive,23,0
Hurry up!,parents,discount,10,1
Buy now!,students,offer,2,0
Buy now!,adults,sale,13,0
Buy now!,parents,sale,1,0
Hurry up!,teens,bestseller,16,0
Hurry up!,students,exclusive,22,1
Hurry up!,adults,sale,6,1
50% off!,elderly,limited,7,0
Don't miss out!,parents,limited,9,1
Don't miss out!,elderly,sale,22,1
50% off!,elderly,exclusive,15,0
Hurry up!,parents,limited,20,0
Don't miss out!,teens,discount,23,1
Don't miss out!,teens,exclusive,21,1
Limited offer!,elderly,bestseller,16,1
Don't miss out!,adults,exclusive,17,0
Buy now!,students,bestseller,0,0
Hurry up!,parents,limited,1,0
Don't miss out!,elderly,sale,9,1
Don't miss out!,teens,limited,20,0
Limited offer!,adults,limited,10,1
Don't miss out!,adults,limited,6,0
50% off!,elderly,sale,0,0
Don't miss out!,elderly,bestseller,5,1
Best in town!,parents,bestseller,8,1
Limited offer!,teens,discount,21,0
Limited offer!,students,offer,5,1
50% off!,teens,offer,6,1
Buy now!,elderly,sale,22,1
Limited offer!,elderly,discount,16,1
50% off!,elderly,exclusive,4,0
Buy now!,parents,offer,9,1
Don't miss out!,teens,exclusive,12,1
Buy now!,teens,bestseller,18,1
50% off!,adults,sale,17,0
Best in town!,adults,exclusive,4,1
50% off!,adults,discount,2,1
50% off!,teens,sale,4,0
Don't miss out!,adults,limited,17,1
Best in town!,students,limited,0,1
Hurry up!,teens,discount,14,0
Hurry up!,adults,limited,5,0
Buy now!,students,sale,14,0
Buy now!,elderly,sale,13,0
50% off!,teens,discount,1,1
Limited offer!,elderly,sale,0,1
50% off!,elderly,sale,5,0
Buy now!,elderly,sale,1,1
Limited offer!,adults,sale,16,0
Best in town!,parents,discount,20,1
Hurry up!,elderly,exclusive,6,0
Buy now!,teens,exclusive,5,1
Hurry up!,students,exclusive,19,1
Limited offer!,students,exclusive,7,1
50% off!,students,discount,0,0
Hurry up!,elderly,bestseller,15,0
50% off!,elderly,discount,3,0
50% off!,students,limited,8,1
Best in town!,teens,sale,14,0
Buy now!,parents,bestseller,3,1
50% off!,elderly,offer,0,1
Buy now!,elderly,sale,14,0
50% off!,parents,bestseller,11,0
Limited offer!,adults,sale,10,1
50% off!,teens,sale,19,0
Limited offer!,adults,limited,17,0
Limited offer!,elderly,bestseller,0,0
Limited offer!,parents,offer,21,1
Hurry up!,students,discount,16,1
50% off!,teens,offer,15,0
Hurry up!,students,offer,11,1
Best in town!,adults,bestseller,7,0
50% off!,elderly,bestseller,6,1
Buy now!,parents,offer,16,1
Don't miss out!,elderly,offer,0,1
Limited offer!,students,limited,4,0
Buy now!,adults,sale,15,1
Hurry up!,adults,exclusive,18,1
Hurry up!,adults,offer,23,0
Buy now!,teens,limited,22,1
Limited offer!,students,discount,19,0
50% off!,adults,limited,16,0
Don't miss out!,teens,bestseller,4,0
Best in town!,students,sale,7,1
Best in town!,adults,exclusive,3,0
Best in town!,adults,limited,9,0
Hurry up!,students,bestseller,5,0
Buy now!,adults,sale,8,1
Limited offer!,elderly,offer,9,1
Buy now!,adults,limited,17,0
Limited offer!,adults,offer,13,0
Best in town!,teens,bestseller,17,0
Buy now!,adults,exclusive,2,0
Hurry up!,parents,offer,21,0
Buy now!,parents,bestseller,19,0
Limited offer!,teens,bestseller,14,1
Don't miss out!,teens,offer,3,0
Hurry up!,teens,limited,20,0
Buy now!,elderly,limited,20,1
50% off!,parents,offer,13,1
Don't miss out!,students,discount,17,1
Limited offer!,parents,sale,8,1
Best in town!,elderly,limited,11,1
Don't miss out!,students,exclusive,2,1
Buy now!,teens,offer,22,0
Best in town!,adults,sale,2,0
Don't miss out!,parents,sale,14,1
Hurry up!,adults,discount,1,1
Limited offer!,elderly,offer,1,0
Hurry up!,teens,discount,13,1
Buy now!,parents,exclusive,0,0
Limited offer!,adults,bestseller,4,1
50% off!,adults,bestseller,5,1
Don't miss out!,teens,bestseller,20,0
Don't miss out!,students,sale,3,0
Buy now!,parents,limited,8,1
50% off!,parents,offer,2,1
Best in town!,students,bestseller,12,1
Don't miss out!,parents,sale,12,0
Limited offer!,elderly,offer,16,1
Limited offer!,teens,offer,22,1
Limited offer!,adults,bestseller,1,1
Don't miss out!,teens,exclusive,3,0
50% off!,adults,discount,10,1
Don't miss out!,teens,limited,3,1
Limited offer!,elderly,bestseller,17,0
Buy now!,students,bestseller,13,0
Best in town!,teens,offer,10,0
Don't miss out!,adults,bestseller,3,1
Buy now!,adults,exclusive,18,0
Limited offer!,parents,sale,4,1
Best in town!,adults,exclusive,0,0
Limited offer!,parents,exclusive,4,0
50% off!,teens,limited,20,0
Best in town!,teens,discount,2,1
Don't miss out!,elderly,discount,9,0
50% off!,adults,sale,1,0
Limited offer!,elderly,limited,12,0
Limited offer!,adults,offer,11,0
Don't miss out!,elderly,exclusive,2,1
Best in town!,teens,limited,17,0
Best in town!,adults,limited,18,1
Hurry up!,students,offer,22,1
Hurry up!,teens,bestseller,2,0
50% off!,teens,sale,15,0
Buy now!,adults,bestseller,11,0
Don't miss out!,students,limited,16,1
Best in town!,elderly,sale,1,0
50% off!,teens,limited,18,1
Limited offer!,students,sale,12,1
Buy now!,parents,exclusive,3,0
Don't miss out!,teens,discount,4,0
Don't miss out!,students,bestseller,9,0
Best in town!,teens,bestseller,5,1
Don't miss out!,parents,bestseller,13,0
Don't miss out!,students,sale,19,1
Don't miss out!,students,offer,22,0
Limited offer!,students,offer,16,1
Best in town!,teens,limited,15,1
50% off!,elderly,limited,10,0
Limited offer!,teens,limited,4,1
Hurry up!,teens,limited,22,0
50% off!,adults,discount,6,0
Best in town!,adults,exclusive,18,0
Buy now!,parents,offer,5,0
Limited offer!,elderly,sale,23,1
Buy now!,adults,offer,23,1
50% off!,elderly,bestseller,11,1
Limited offer!,elderly,sale,12,1
Don't miss out!,parents,sale,3,1
50% off!,teens,sale,1,1
Hurry up!,elderly,bestseller,1,0
Limited offer!,students,sale,11,1
Buy now!,parents,limited,17,1
50% off!,adults,bestseller,7,1
50% off!,elderly,exclusive,9,1
50% off!,students,exclusive,19,0
50% off!,students,discount,16,0
Limited offer!,adults,limited,15,1
Best in town!,adults,sale,5,0
Buy now!,parents,limited,13,1
Buy now!,teens,exclusive,7,0
Buy now!,adults,limited,16,1
50% off!,parents,offer,12,0
Best in town!,elderly,discount,17,1
50% off!,elderly,limited,21,1
Best in town!,students,exclusive,11,0
Limited offer!,parents,bestseller,12,0
Hurry up!,students,limited,16,1
Don't miss out!,teens,offer,8,0
Best in town!,teens,exclusive,9,1
Buy now!,students,limited,5,0
Best in town!,parents,sale,15,1
Best in town!,elderly,discount,16,1
Limited offer!,teens,discount,14,0
Best in town!,teens,bestseller,4,1
Hurry up!,elderly,discount,1,0
Best in town!,parents,limited,21,1
Buy now!,parents,limited,1,1
Best in town!,elderly,sale,7,1
Buy now!,parents,bestseller,17,1
Hurry up!,elderly,offer,5,0
Don't miss out!,teens,exclusive,3,1
Don't miss out!,adults,bestseller,19,0
Buy now!,parents,bestseller,18,0
Buy now!,teens,discount,14,0
Best in town!,teens,sale,21,1
Limited offer!,elderly,limited,3,1
Don't miss out!,adults,offer,0,0
Buy now!,parents,sale,2,0
Best in town!,elderly,sale,5,0
Best in town!,parents,bestseller,14,0
Don't miss out!,teens,discount,9,1
Limited offer!,elderly,sale,14,0
Limited offer!,teens,sale,13,1
Best in town!,parents,exclusive,7,0
Best in town!,adults,discount,1,0
Don't miss out!,parents,sale,17,0
Don't miss out!,students,limited,9,1
Best in town!,students,discount,7,1
Limited offer!,teens,sale,12,1
50% off!,elderly,exclusive,5,1
Don't miss out!,teens,limited,16,1
50% off!,adults,exclusive,16,1
Hurry up!,parents,sale,18,1
Limited offer!,elderly,discount,19,1
Limited offer!,students,discount,11,1
Buy now!,parents,sale,22,1
50% off!,students,bestseller,22,1
Limited offer!,teens,bestseller,4,1
50% off!,elderly,discount,22,0
Limited offer!,teens,offer,6,1
Hurry up!,elderly,discount,4,0
Don't miss out!,parents,offer,19,1
Hurry up!,elderly,bestseller,10,0
Best in town!,students,sale,12,1
Buy now!,students,bestseller,3,0
50% off!,parents,sale,18,1
50% off!,parents,discount,19,1
Best in town!,parents,offer,20,0
Best in town!,elderly,discount,19,0
Don't miss out!,students,limited,5,1
Buy now!,students,bestseller,3,0
Limited offer!,elderly,offer,19,1
Hurry up!,students,exclusive,14,0
Don't miss out!,students,discount,8,0
Buy now!,teens,discount,3,0
Don't miss out!,parents,exclusive,1,0
Limited offer!,adults,exclusive,6,1
Buy now!,students,limited,8,0
Limited offer!,teens,discount,4,0
Best in town!,parents,discount,0,1
50% off!,teens,offer,13,1
Buy now!,elderly,bestseller,13,1
Buy now!,students,offer,22,0
Buy now!,teens,limited,19,1
Don't miss out!,adults,offer,15,0
Limited offer!,parents,discount,18,1
Hurry up!,students,discount,11,0
Best in town!,teens,offer,1,1
50% off!,adults,bestseller,13,0
Best in town!,elderly,offer,8,0
Buy now!,parents,offer,8,0
Best in town!,teens,bestseller,5,0
Best in town!,parents,limited,8,0
Limited offer!,teens,limited,6,0
Limited offer!,students,limited,15,0
Buy now!,parents,sale,0,1
Best in town!,teens,sale,6,1
50% off!,elderly,offer,8,0
Buy now!,teens,offer,5,1
Don't miss out!,parents,exclusive,5,1
Buy now!,teens,discount,11,0
Best in town!,parents,sale,20,1
Buy now!,teens,exclusive,18,0
Limited offer!,parents,exclusive,9,0
Don't miss out!,elderly,sale,13,0
Limited offer!,students,limited,1,0
Best in town!,parents,bestseller,1,0
50% off!,adults,exclusive,11,0
Best in town!,students,limited,1,0
Best in town!,students,sale,3,1
Limited offer!,teens,sale,9,1
Buy now!,students,sale,19,0
50% off!,adults,exclusive,16,0
50% off!,elderly,discount,7,0
Best in town!,adults,discount,23,0
Hurry up!,teens,limited,10,0
50% off!,elderly,offer,23,1
Best in town!,parents,discount,17,0
50% off!,adults,sale,14,0
Don't miss out!,teens,limited,11,0
Hurry up!,teens,sale,6,1
Hurry up!,teens,limited,17,1
Hurry up!,elderly,sale,18,0
Limited offer!,adults,limited,19,1
Hurry up!,teens,sale,8,1
50% off!,students,exclusive,16,0
Don't miss out!,adults,limited,12,0
50% off!,parents,bestseller,4,1
Limited offer!,students,limited,2,0
Don't miss out!,students,bestseller,10,1
Don't miss out!,elderly,exclusive,17,1
Best in town!,teens,exclusive,12,1
Buy now!,parents,limited,6,0
Hurry up!,students,offer,18,0
Hurry up!,elderly,sale,22,0
Buy now!,students,limited,5,0
Best in town!,teens,bestseller,15,1
Best in town!,teens,offer,6,1
Don't miss out!,teens,exclusive,9,0
50% off!,parents,bestseller,5,1
Buy now!,parents,exclusive,12,0
Limited offer!,parents,limited,1,1
Best in town!,teens,exclusive,2,1
Best in town!,teens,exclusive,10,1
Best in town!,students,limited,17,0
Don't miss out!,elderly,discount,10,0
50% off!,adults,discount,11,0
Best in town!,students,exclusive,9,0
Hurry up!,elderly,bestseller,12,0
Hurry up!,adults,limited,14,1
50% off!,teens,bestseller,18,0
Hurry up!,teens,sale,23,0
Buy now!,elderly,discount,5,0
Hurry up!,teens,bestseller,16,0
50% off!,students,discount,22,1
Best in town!,adults,bestseller,2,0
50% off!,elderly,sale,10,1
Best in town!,adults,bestseller,9,1
Limited offer!,parents,sale,3,0
Buy now!,adults,exclusive,2,1
Hurry up!,adults,discount,18,1
Best in town!,parents,sale,2,0
Hurry up!,students,limited,16,0
Best in town!,students,exclusive,21,1
Best in town!,parents,discount,15,0
Best in town!,students,limited,3,0
Hurry up!,teens,bestseller,21,1
50% off!,elderly,offer,19,1
Don't miss out!,parents,limited,20,1
Hurry up!,teens,offer,8,1
Hurry up!,students,offer,10,1
Limited offer!,teens,sale,17,1
Limited offer!,teens,sale,2,1
Limited offer!,teens,sale,23,0
Hurry up!,parents,limited,18,0
Hurry up!,elderly,bestseller,10,0
Hurry up!,adults,bestseller,0,1
Don't miss out!,students,offer,1,1
Hurry up!,parents,limited,16,0
Best in town!,teens,exclusive,2,1
Hurry up!,elderly,exclusive,20,0
Don't miss out!,adults,limited,5,0
Don't miss out!,teens,limited,11,0
Don't miss out!,adults,sale,20,1
Hurry up!,teens,sale,8,1
Buy now!,parents,sale,20,0
Limited offer!,teens,sale,11,1
50% off!,parents,exclusive,6,0
Don't miss out!,teens,discount,16,1
Limited offer!,teens,offer,3,1
Don't miss out!,elderly,bestseller,0,1
Limited offer!,adults,bestseller,23,1
Limited offer!,students,exclusive,0,0
Limited offer!,elderly,offer,6,1
Limited offer!,adults,discount,3,0
50% off!,parents,exclusive,19,1
50% off!,parents,exclusive,10,0
Buy now!,teens,sale,11,1
Don't miss out!,teens,bestseller,2,1
Limited offer!,parents,sale,4,1
Buy now!,elderly,bestseller,23,0
Best in town!,teens,bestseller,0,0
Hurry up!,teens,sale,18,1
50% off!,elderly,discount,6,0
Don't miss out!,teens,limited,4,0
50% off!,students,discount,3,0
Limited offer!,elderly,exclusive,22,1
Best in town!,teens,exclusive,19,0
Hurry up!,students,sale,5,1
50% off!,parents,exclusive,1,0
Hurry up!,students,discount,21,1
50% off!,elderly,offer,14,0
Limited offer!,students,exclusive,11,1
Limited offer!,elderly,limited,3,1
50% off!,parents,discount,4,1
Hurry up!,adults,exclusive,11,0
Best in town!,parents,bestseller,11,1
Limited offer!,adults,bestseller,0,0
50% off!,students,bestseller,17,1
Buy now!,parents,exclusive,6,0
Best in town!,parents,discount,11,1
Don't miss out!,teens,discount,2,0
Best in town!,parents,discount,15,0
50% off!,students,sale,14,1
Best in town!,teens,discount,3,1
50% off!,teens,sale,22,1
Best in town!,parents,limited,5,0
Best in town!,teens,discount,19,0
50% off!,elderly,discount,4,1
Limited offer!,teens,bestseller,20,1
Buy now!,parents,offer,4,0
Limited offer!,students,discount,4,0
50% off!,teens,sale,22,0
Best in town!,students,exclusive,9,0
Best in town!,parents,exclusive,14,0
50% off!,students,exclusive,10,0
Buy now!,teens,limited,4,1
50% off!,students,exclusive,2,1
Don't miss out!,adults,bestseller,1,0
50% off!,students,discount,0,0
Limited offer!,elderly,limited,7,0
Best in town!,elderly,bestseller,6,1
Don't miss out!,students,exclusive,13,1
Don't miss out!,parents,offer,20,0
Hurry up!,parents,exclusive,11,1
Hurry up!,adults,bestseller,18,1
Don't miss out!,elderly,sale,7,1
50% off!,adults,offer,7,1
Limited offer!,elderly,sale,19,1
Don't miss out!,teens,bestseller,4,0
Best in town!,students,sale,3,0
Don't miss out!,parents,bestseller,14,1
Best in town!,teens,limited,6,1
Best in town!,students,exclusive,22,0
Buy now!,elderly,sale,5,0
Don't miss out!,students,exclusive,3,1
Limited offer!,parents,limited,10,1
Best in town!,parents,bestseller,8,1
Hurry up!,adults,limited,6,1
Hurry up!,students,exclusive,3,1
Hurry up!,students,limited,9,1
Limited offer!,parents,bestseller,10,0
Buy now!,adults,exclusive,11,1
Limited offer!,teens,sale,23,0
Best in town!,elderly,sale,12,1
Don't miss out!,students,bestseller,7,1
Don't miss out!,adults,limited,16,1
Buy now!,elderly,sale,13,0
